cart,purchase,view,view_to_cart,cart_to_purchase
0.0,0.0,67.0,0.0,
0.0,0.0,325.0,0.0,
28.0,29.0,6120.0,0.004575163398692811,1.0357142857142858
25.0,5.0,1116.0,0.022401433691756272,0.2
1.0,1.0,78.0,0.01282051282051282,1.0
33.0,22.0,9821.0,0.0033601466245799815,0.6666666666666666
0.0,0.0,515.0,0.0,
0.0,0.0,11.0,0.0,
3.0,2.0,76.0,0.039473684210526314,0.6666666666666666
2.0,2.0,229.0,0.008733624454148471,1.0
0.0,0.0,29.0,0.0,
25.0,17.0,7644.0,0.003270538984824699,0.68
6.0,8.0,391.0,0.015345268542199489,1.3333333333333333
10.0,4.0,2287.0,0.004372540445999125,0.4
0.0,0.0,474.0,0.0,
16.0,10.0,6566.0,0.0024367956137678953,0.625
0.0,0.0,5.0,0.0,
6.0,2.0,8677.0,0.0006914832315316353,0.3333333333333333
14.0,10.0,3424.0,0.0040887850467289715,0.7142857142857143
0.0,0.0,49.0,0.0,
161.0,40.0,9806.0,0.01641851927391393,0.2484472049689441
0.0,0.0,70.0,0.0,
32.0,15.0,6004.0,0.005329780146568954,0.46875
0.0,0.0,330.0,0.0,
0.0,21.0,758.0,0.0,inf
5.0,6.0,1553.0,0.003219575016097875,1.2
0.0,0.0,15.0,0.0,
0.0,0.0,14.0,0.0,
43.0,21.0,4892.0,0.008789860997547016,0.4883720930232558
26.0,21.0,4811.0,0.0054042818540843895,0.8076923076923077
47.0,102.0,20540.0,0.002288218111002921,2.1702127659574466
2.0,27.0,6492.0,0.00030807147258163895,13.5
0.0,0.0,65.0,0.0,
0.0,0.0,85.0,0.0,
27.0,15.0,3180.0,0.008490566037735849,0.5555555555555556
447.0,159.0,22305.0,0.02004034969737727,0.35570469798657717
87.0,30.0,4204.0,0.020694576593720267,0.3448275862068966
210.0,203.0,30115.0,0.006973269134982567,0.9666666666666667
0.0,0.0,20.0,0.0,
0.0,0.0,99.0,0.0,
0.0,0.0,429.0,0.0,
44.0,59.0,3638.0,0.012094557449147883,1.3409090909090908
269.0,300.0,48046.0,0.005598801148898972,1.1152416356877324
14.0,5.0,4375.0,0.0032,0.35714285714285715
1.0,2.0,3565.0,0.00028050490883590464,2.0
0.0,0.0,141.0,0.0,
0.0,4.0,9145.0,0.0,inf
3.0,1.0,268.0,0.011194029850746268,0.3333333333333333
0.0,0.0,181.0,0.0,
6.0,9.0,3104.0,0.0019329896907216496,1.5
0.0,0.0,4.0,0.0,
38.0,16.0,9325.0,0.004075067024128686,0.42105263157894735
0.0,0.0,36.0,0.0,
0.0,6.0,1827.0,0.0,inf
0.0,0.0,57.0,0.0,
2.0,3.0,1402.0,0.0014265335235378032,1.5
0.0,2.0,137.0,0.0,inf
24.0,17.0,3806.0,0.006305832895428271,0.7083333333333334
62.0,24.0,7457.0,0.008314335523669036,0.3870967741935484
0.0,0.0,78.0,0.0,
0.0,0.0,20.0,0.0,
0.0,0.0,2.0,0.0,
0.0,0.0,10.0,0.0,
0.0,1.0,474.0,0.0,inf
0.0,0.0,4.0,0.0,
1.0,0.0,418.0,0.0023923444976076554,0.0
5.0,2.0,5805.0,0.0008613264427217916,0.4
0.0,0.0,20.0,0.0,
